date,product_id,warehouse_id,units_sold,stock_level,price,promotion,temperature,event
2022-01-01,SKU-0001,WH-01,57,1465,30.76,False,21.9,
2022-01-01,SKU-0001,WH-02,67,1484,44.24,False,21.9,
2022-01-01,SKU-0001,WH-03,60,717,16.03,False,21.9,
2022-01-01,SKU-0002,WH-01,67,716,54.31,False,21.9,
2022-01-01,SKU-0002,WH-02,68,1387,29.77,False,21.9,
2022-01-01,SKU-0002,WH-03,93,1095,29.55,False,21.9,
2022-01-01,SKU-0003,WH-01,22,339,14.31,False,21.9,
2022-01-01,SKU-0003,WH-02,35,449,35.44,False,21.9,
2022-01-01,SKU-0003,WH-03,43,1057,13.76,False,21.9,
2022-01-01,SKU-0004,WH-01,62,1690,18.14,False,21.9,
2022-01-01,SKU-0004,WH-02,90,1485,38.55,False,21.9,
2022-01-01,SKU-0004,WH-03,107,1326,64.62,False,21.9,
2022-01-01,SKU-0005,WH-01,105,2087,86.35,False,21.9,
2022-01-01,SKU-0005,WH-02,99,1612,50.12,False,21.9,
2022-01-01,SKU-0005,WH-03,108,2712,88.94,False,21.9,
2022-01-02,SKU-0001,WH-01,59,1618,37.89,False,17.5,
2022-01-02,SKU-0001,WH-02,67,1752,27.05,False,17.5,
2022-01-02,SKU-0001,WH-03,66,1224,37.63,False,17.5,
2022-01-02,SKU-0002,WH-01,70,1284,87.51,False,17.5,
2022-01-02,SKU-0002,WH-02,75,1235,21.73,False,17.5,
2022-01-02,SKU-0002,WH-03,88,2574,75.16,False,17.5,
2022-01-02,SKU-0003,WH-01,25,268,48.88,False,17.5,
2022-01-02,SKU-0003,WH-02,31,400,54.18,False,17.5,
2022-01-02,SKU-0003,WH-03,25,631,106.28,False,17.5,
2022-01-02,SKU-0004,WH-01,51,1156,86.14,False,17.5,
2022-01-02,SKU-0004,WH-02,109,1497,17.23,False,17.5,
2022-01-02,SKU-0004,WH-03,190,4352,53.38,True,17.5,
2022-01-02,SKU-0005,WH-01,86,1097,76.66,False,17.5,
2022-01-02,SKU-0005,WH-02,78,2055,21.86,False,17.5,
2022-01-02,SKU-0005,WH-03,115,3214,55.8,False,17.5,
2022-01-03,SKU-0001,WH-01,39,456,84.31,False,17.9,
2022-01-03,SKU-0001,WH-02,41,414,101.93,False,17.9,
2022-01-03,SKU-0001,WH-03,66,956,55.14,False,17.9,
2022-01-03,SKU-0002,WH-01,60,1380,35.51,False,17.9,
2022-01-03,SKU-0002,WH-02,56,972,63.51,False,17.9,
2022-01-03,SKU-0002,WH-03,69,1921,32.43,False,17.9,
2022-01-03,SKU-0003,WH-01,28,556,84.31,False,17.9,
2022-01-03,SKU-0003,WH-02,19,547,75.72,False,17.9,
2022-01-03,SKU-0003,WH-03,24,704,96.79,False,17.9,
2022-01-03,SKU-0004,WH-01,49,1324,93.19,False,17.9,
2022-01-03,SKU-0004,WH-02,93,2225,21.43,False,17.9,
2022-01-03,SKU-0004,WH-03,79,2176,18.92,False,17.9,
2022-01-03,SKU-0005,WH-01,66,1048,64.42,False,17.9,
2022-01-03,SKU-0005,WH-02,76,1973,94.37,False,17.9,
2022-01-03,SKU-0005,WH-03,68,1140,101.37,False,17.9,
2022-01-04,SKU-0001,WH-01,39,813,61.8,False,21.4,
